----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
     time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo 
03-03 21:52:59|  0  12  87   0   0| 448M   22G 2096k 1291M| 104     0 |   0     0 |   0     0 |1745   411 |0.62 0.45 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:00|  0  12  87   0   0| 419M   22G 2096k 1291M|  52     0 |   0     0 |   0     0 |1657   460 |0.62 0.45 0.20|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:01| 10   3  87   0   0| 526M   21G 2096k 1318M| 104     0 |  20k    0 |2.00     0 |1554   614 |0.65 0.46 0.20|1.0   0  10|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:02| 12   0  87   0   0| 601M   21G 2096k 1318M|  52     0 |   0     0 |   0     0 |1229   374 |0.65 0.46 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:03| 12   0  87   0   0| 600M   21G 2096k 1318M| 272   198 |   0    50M|   0  70.0 |1235   191 |0.65 0.46 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:04| 13   0  87   0   0| 608M   21G 2096k 1318M|  52     0 |   0  5276k|   0   306 |1207   209 |0.65 0.46 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:05| 13   0  88   0   0| 608M   21G 2096k 1318M| 104     0 |   0     0 |   0     0 |1101    86 |0.65 0.46 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:06| 12   0  87   0   0| 608M   21G 2096k 1318M|  52     0 |   0     0 |   0     0 |1084    91 |0.68 0.47 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:07| 13   0  87   0   0| 608M   21G 2096k 1318M| 104     0 |   0     0 |   0     0 |1079    74 |0.68 0.47 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:08| 13   0  88   0   0| 608M   21G 2096k 1318M| 136   144 |   0  9496k|   0  24.0 |1117    99 |0.68 0.47 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
